2018-08-11 20:07:41,949 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: C:\Users\25772\Desktop\Learning Notes\LearningNotes\LearningNotes\activemq\apache-activemq-5.11.1-bin\apache-activemq-5.11.1\bin\win64\..\..\data\kahadb only has 7942 mb of usable space - resetting to maximum available disk space: 7942 mb | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2018-08-11 20:07:41,950 | WARN  | Temporary Store limit is 51200 mb, whilst the temporary data directory: C:\Users\25772\Desktop\Learning Notes\LearningNotes\LearningNotes\activemq\apache-activemq-5.11.1-bin\apache-activemq-5.11.1\bin\win64\..\..\data\localhost\tmp_storage only has 7942 mb of usable space - resetting to maximum available 7942 mb. | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2018-08-11 20:07:42,301 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2018-08-11 20:07:42,362 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | WrapperSimpleAppMain
2018-08-11 20:07:42,790 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | WrapperSimpleAppMain
2018-08-11 20:11:35,667 | WARN  | Transport Connection to: tcp://127.0.0.1:59689 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:59689@61616
2018-08-11 20:11:58,798 | WARN  | Transport Connection to: tcp://127.0.0.1:59711 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:59711@61616
2018-08-11 20:13:47,294 | WARN  | Transport Connection to: tcp://127.0.0.1:59842 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:59842@61616
2018-08-11 20:28:41,664 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6b504712: startup date [Sat Aug 11 20:28:41 CST 2018]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2018-08-11 20:28:42,420 | INFO  | PListStore:[C:\Users\25772\Desktop\Learning Notes\LearningNotes\LearningNotes\activemq\apache-activemq-5.11.1-bin\apache-activemq-5.11.1\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2018-08-11 20:28:42,437 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\25772\Desktop\Learning Notes\LearningNotes\LearningNotes\activemq\apache-activemq-5.11.1-bin\apache-activemq-5.11.1\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2018-08-11 20:28:42,652 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2018-08-11 20:28:42,671 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2018-08-11 20:28:42,677 | INFO  | Recovery replayed 33 operations from the journal in 0.02 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
